x y dx dy
-1.164134611	1.122	0.047	0.017
-0.876155285	1.13025	0.047	0.017
-0.589921287	1.04775	0.047	0.017
-0.314159265	1.03125	0.047	0.017
-0.123918377	1.023	0.047	0.017
0.115191731	1.0325	0.047	0.017
0.239110108	1.01475	0.047	0.017
0.621337214	1.03125	0.047	0.017
0.834267382	1.09725	0.047	0.017
1.32994089	1.13025	0.047	0.017
-1.132718685	1.1055	0.047	0.017
-0.945968455	1.13025	0.047	0.017
-0.58293997	1.04775	0.047	0.017
-0.328121899	1.0395	0.047	0.017
-0.158824962	1.023	0.047	0.017
0.097738438	1.023	0.047	0.017
0.268780705	1.03125	0.047	0.017
0.595157275	1.03125	0.047	0.017
0.918043187	1.09725	0.047	0.017
1.111774734	1.09725	0.047	0.017
-1.192059879	1.122	0.047	0.017
-0.919788516	1.13025	0.047	0.017
-0.574213324	1.023	0.047	0.017
-0.329867229	1.04775	0.047	0.017
-0.185004901	1.023	0.047	0.017
0.109955743	1.01475	0.047	0.017
0.254818071	1.023	0.047	0.017
0.591666616	1.01475	0.047	0.017
0.949459113	1.1055	0.047	0.017
1.181587904	1.122	0.047	0.017
