x y dx dy
-1.192059879	1.1165	0.013994918	0.017
-0.919788516	1.13025	0.016625646	0.017
-0.574213324	1.0395	0.003710013	0.017
-0.329867229	1.0395	0.004058559	0.017
-0.185004901	1.023	0.014447122	0.017
0.109955743	1.023416667 0.003526832	0.017
0.254818071	1.023	0.006997459	0.017
0.591666616	1.02575	0.007644699	0.017
0.949459113	1.1	0.028070335	0.017
1.181587904	1.1165	0.052521233	0.017
